id,found,violation_score,time,cost,graph6
886,True,25.0,0.36789822578430176,0.36789822578430176,Q~~wGCB?wF_^?@??_?W?F??{?Bw
980,True,0.6875,0.6657652854919434,0.6657652854919434,SOGI?sT?_C?OG??G??_?@??K??w?@w?@{
981,True,0.22222222222222232,1.2907023429870605,1.2907023429870605,]OC@H?K_?H?E?GA?CO?@QOC?@???A???C??B???wA?????@???@?A??????G???B????[???@w
1177,True,0.07619047619047592,0.5439989566802979,0.5439989566802979,MxCGK?@?_?_B?F?F_
1178,True,0.5599999999999996,0.4416947364807129,0.4416947364807129,XhCKGC@?WG_@?@??_?G?@??A??G??o??C??@???W??B_??N???^
1191,True,1.33505483405483,0.529332160949707,0.529332160949707,Tv}L~bHN\n]~|fvzi|evYerJ~^r^zrf}rT]a
1466,True,0.4867142857142923,3.805239677429199,3.805239677429199,PhgGGDBcGO_DOB?@pYL_DE??
1566,True,1.0,0.5082478523254395,0.5082478523254395,N~sGGKF@w?_@?B?B_@w
1587,True,0.666666666666667,1.4796462059020996,1.4796462059020996,LWE?GE??G?i?O?
1588,True,1.0,1.1698026657104492,1.1698026657104492,KeAH_QGO??_@
1600,True,0.33333333333333304,0.778759241104126,0.778759241104126,L@C?U?cC?aAO?_
1601,True,1.0,2.278275489807129,2.278275489807129,UXC?GE??G?_@?P??o?L?H??C??G??G?????@??GO
1708,True,1.0,0.6160650253295898,0.6160650253295898,W~{GGKF@w?_@?B?B_@w_???C??G??GC????@???W??B_??N
1880,True,1.0,3.8219525814056396,3.8219525814056396,MFKG__GA?oA?A?A??
1891,True,1.0,7.45134973526001,7.45134973526001,TgCKm?@?G?`O?_??_?GO??O?@????O??C@O?
2041,True,0.25,2.884277105331421,2.884277105331421,MhPaB@?G@?C?G?O??
2051,True,0.25,3.805351972579956,3.805351972579956,K[IC@A?GC?C?
2117,True,1.4867142857142923,0.6165306568145752,0.6165306568145752,KsKO?OQ?G?_@
2120,True,0.5,1.5567255020141602,1.5567255020141602,LDWOGCWC?_?@?@
2121,True,1.0,0.9048316478729248,0.9048316478729248,WGOqC?@?G?_@O???_?G?@??CO?D????A???@???G???_??@
